# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	SOURCE	COGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	AUTOCOGID
#
236931	marangis	1035_GOOD	yaoŋ	yaoŋ	j a o ŋ		foley2005	50	6 7 7 4	AXYN	JAUN	20	20.J.C 20.A.V 20.U.V 20.N.c	2.0 1.5 1.3 0.8	jaoŋ	0	2
236929	kayan	1035_GOOD	yaoŋ	yaoŋ	j a o ŋ		foley2005	107	6 7 7 4	AXYN	JAUN	15	15.J.C 15.A.V 15.U.V 15.N.c	2.0 1.5 1.3 0.8	jaoŋ	0	2
236930	mbore	1035_GOOD	laŋ	laŋ	l a ŋ		foley2005	164	5 7 4	AXN	LAN	21	21.L.C 21.A.V 21.N.c	2.0 1.5 0.8	laŋ	0	2
236932	bosmun	1035_GOOD	yaŋ	yaŋ	j a ŋ		foley2005	219	6 7 4	AXN	JAN	9	9.J.C 9.A.V 9.N.c	2.0 1.5 0.8	jaŋ	0	2
236928	awar	1035_GOOD	yandi	yandi	j a n d i		foley2005	274	6 7 4 1 7	AXMBZ	JANTI	6	6.J.C 6.A.V 6.N.c 6.T.C 6.I.V	2.0 1.5 1.1 1.75 0.8	jandi	0	2
237251	aruamu	1035_GOOD	aŋwi	aŋwi	a ŋ w i		foley2005	21191	7 4 6 7	XBCZ	ANWI	5	5.A.V 5.N.C 5.W.C 5.I.V	1.5 1.75 1.5 0.8	aŋwi	0	1
237248	tanggu	1035_GOOD	swari	swari	s w a r i		foley2005	21191	3 6 7 5 7	ACXBZ	SWARI	26	26.S.C 26.W.C 26.A.V 26.R.C 26.I.V	2.0 1.5 1.5 1.75 0.8	swari	0	9
237249	tanggu	1035_GOOD	ara	ara	a r a		foley2005	21191	7 5 7	XBZ	ARA	26	26.A.V 26.R.C 26.A.V	1.5 1.75 0.8	ara	0	4
237250	kanggape	1035_GOOD	yara	yara	j a r a		foley2005	21191	6 7 5 7	AXBZ	JARA	14	14.J.C 14.A.V 14.R.C 14.A.V	2.0 1.5 1.75 0.8	jara	0	4
237252	kire	1035_GOOD	vuŋ	vuŋ	v u ŋ		foley2005	21191	3 7 4	AXN	BYN	16	16.B.C 16.Y.V 16.N.c	2.0 1.5 0.8	vuŋ	0	6
#
236826	marangis	1174_YESTERDAY	ŋur	ŋur	ŋ u r		foley2005	29	4 7 5	AXN	NYR	20	20.N.C 20.Y.V 20.R.c	2.0 1.5 0.8	ŋur	0	16
236824	kayan	1174_YESTERDAY	ŋaup	ŋaup	ŋ a u p		foley2005	86	4 7 7 1	AXYN	NAYP	15	15.N.C 15.A.V 15.Y.V 15.P.c	2.0 1.5 1.3 0.8	ŋaup	0	14
236825	mbore	1174_YESTERDAY	ŋaur	ŋaur	ŋ a u r		foley2005	143	4 7 7 5	AXYN	NAYR	21	21.N.C 21.A.V 21.Y.V 21.R.c	2.0 1.5 1.3 0.8	ŋaur	0	16
236827	bosmun	1174_YESTERDAY	ɣur	ɣur	ɣ u r		foley2005	198	3 7 5	AXN	GYR	9	9.G.C 9.Y.V 9.R.c	2.0 1.5 0.8	ɣur	0	12
236823	awar	1174_YESTERDAY	gur	gur	g u r		foley2005	253	1 7 5	AXN	KYR	6	6.K.C 6.Y.V 6.R.c	2.0 1.5 0.8	gur	0	11
237140	aruamu	1174_YESTERDAY	pɨkɨm	pɨkɨm	p ɨ k ɨ m		foley2005	21174	1 7 1 7 4	AXBYN	PIKIM	5	5.P.C 5.I.V 5.K.C 5.I.V 5.M.c	2.0 1.5 1.75 1.3 0.8	pɨkɨm	0	10
237138	tanggu	1174_YESTERDAY	ruar	ruar	r u a r		foley2005	21174	5 7 7 5	AXYN	RYAR	26	26.R.C 26.Y.V 26.A.V 26.R.c	2.0 1.5 1.3 0.8	ruar	0	12
237139	kanggape	1174_YESTERDAY	mugisi	mugisi	m u g i s i		foley2005	21174	4 7 1 7 3 7	AXBYBZ	MYKISI	14	14.M.C 14.Y.V 14.K.C 14.I.V 14.S.C 14.I.V	2.0 1.5 1.75 1.3 1.75 0.8	mugisi	0	13
237141	kire	1174_YESTERDAY	gurmun	gurmun	g u r m u n		foley2005	21174	1 7 5 4 7 4	AXMBYN	KYRMYN	16	16.K.C 16.Y.V 16.R.c 16.M.C 16.Y.V 16.N.c	2.0 1.5 1.1 1.75 1.3 0.8	gurmun	0	11
#
236926	marangis	1202_BIG	nakan	nakan	n a k a n		foley2005	49	4 7 1 7 4	AXBYN	NAKAN	20	20.N.C 20.A.V 20.K.C 20.A.V 20.N.c	2.0 1.5 1.75 1.3 0.8	nakan	0	26
